launcher_name,launcher_company,launch_status,launch_capability_short,launch_capability_full,access_mode,launch_place_short,launch_place_full,basic_configuration,notes
KAIROS Rocket,Space One,Upcoming,SSO: 150 kg,SSO: 150 kgs,Dedicated,"Spaceport Kii, Japan","Spaceport Kii, Japan",Solid fuel three-stage and liquid propellant upper stage (PBS),Height: 18 metres; Third failure recently
Miura 5,PLD Space,Upcoming,LEO: 2.2 t,LEO: 2200 kgs to orbit,Both,Guiana Space Centre / Etlaq,"Guiana Space Centre, Korou; Etlaq Spaceport, Oman","Two stage reusable launcher, optional kickstage",PLD Space has raised 180 million euros to ramp up production; Miura 1 already reached orbit in 2025
RFA ONE,RFA,Upcoming,LEO/SSO: 1.3 t,1300 kg to LEO SSO,Both,"SaxaVord, Scotland","Saxavord Spaceport, Scotland","3 stages, first stage recovery possible",Maiden launch attempt in 2026
Spectrum,Isar Aerospace,Upcoming,LEO: 1.0 t,1000kg to LEO,Rideshare,"Andøya, Norway","Andoya Spaceport, Norway",2 stage,"First launch in summer 2026; additional note says launched in March 2025, next flight in 2026; already has launch contracts"
SR75,HyImpulse,Upcoming,LEO: 0.6 t,600 kgs to orbit,Dedicated,SaxaVord / Esrange / Australia,"Saxaford, UK; Esrange, Sweden; Australia",3 stage hybrid rocket,First orbital launch in late 2027; additional note says SR75 expected to launch in 2026 and SL1 in 2027. Launch facility in Australia
Maia,MaiaSpace,Upcoming,LEO: 0.5-1.5 t,"500kg (reusable), 1500 (expendable)",Dedicated,Guiana Space Centre,"Guiana Space Centre, Korou","2 stage launcher; 2 variants, expendable and reusable","First launch in 2027; additional note says subsidiary of ArianeGroup, inaugural flight in 2026, signed contract with Exotrail, missions starting in 2027"
Vikram-1,Skyroot,Upcoming,LEO: 0.48 t,480 kgs to orbit,Dedicated,"Sriharikota, India","Sriharikota, India","3 solid booster, 2nd stage liquid propulsion",First launch in 2026
Agnibaan,Agnikul,Upcoming,LEO: 0.5 t,500kgs to LEO,Dedicated,10+ spaceports,10+ spaceports around the world,"2 stage rocket, 5 different configurations available",First orbital launch start of 2027
Skyrora XL,Skyrora,Upcoming,LEO: 0.315 t,315kgs to orbit,Dedicated,SaxaVord Spaceport,Saxaford Spaceport,Three stage launch vehicle,"First orbital launch end of 2027; additional note says bigger launcher Skylark XL is in development, launch date unclear"
Falcon 9,SpaceX,Operational,LEO: 22 t,Mass to LEO: 22 ton,Both,Cape Canaveral / Vandenberg,"Cape Canaveral, Vandenberg Air Force Base",2 stage reusable rocket,611 missions until now; rideshare missions available; $6500 to $7000 per kg
Falcon Heavy,SpaceX,Operational,LEO: 64 t,64 metric ton to orbit,Dedicated,Cape Canaveral / Vandenberg,"Cape Canaveral, Vandenberg Air Force Base",3 reusable Falcon 9 engine cores,11 completed missions; rideshare not available
Electron,Rocket Lab,Operational,LEO: 0.3 t,300 kgs to orbit,Both,LC-1 NZ / LC-2 Virginia,"Launch Complex 1, NZ; Launch Complex 2, Virginia, US","2 stage, Rutherford engines; optional 2+ kick stage allows deployment at multiple planes/inclinations","$23,500 per kg to orbit; 83 launches until now"
Neutron,Rocket Lab,Upcoming,LEO: 13 t,13000 kgs to orbit,Rideshare,LC-3 Virginia,"Launch Complex 3, Virginia, US",2 stage Archimedes engine,To be launched in 2027
Terran R,Firefly Aerospace,Upcoming,LEO: 23.5 t,23500 kgs to LEO,Unknown,"Cape Canaveral, US","Cape Canaveral, US",2 stage rocket,First launch in late 2026
Alpha,Firefly Aerospace,Operational,LEO: 1.03 t,1030 kgs to orbit,Dedicated,Vandenberg / Esrange,"Vandenberg Air Force Base, US; Esrange Space Centre, Sweden",2 stage engines,Alpha 7 Block 2 launched in March 2026
Ariane 6,ArianeGroup,Operational,LEO: 10-21 t,Ariane 62: 10 tonnes to LEO; Ariane 64: 21 tonne to LEO,Both,Guiana Space Centre,"Guiana Space Centre, Korou",2 stage rocket boosters; 2 variants: one with two solid boosters and one with four solid boosters,"Ariane 64 flew for the first time in 2026; Ariane 6 plan to have 8 launches in 2026; inaugural flight in 2024, 4 flights in 2025"
Vega-C,Avio,Operational,LEO: 3.3 t,3.3 tonne to orbit,Both,Guiana Space Centre,"Guiana Space Centre, Korou","4 stage, 3 solid rocket and 1 liquid stage",Operational again in 2024; launch cadence around 4 in 2025 and expected similar in 2026
